Date,"Allegheny, Pennsylvania, US","Milwaukee, Wisconsin, US","New York City, New York, US","Allen, Ohio, US"
2020-01-22,,,,
2020-01-23,,,,
2020-01-24,,,,
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,,,
2020-01-28,,,,
2020-01-29,,,,
2020-01-30,,,,
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,,,,
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,40,182,9654,0
2020-03-23,48,204,12305,0
2020-03-24,58,243,14904,0
2020-03-25,88,325,17856,0
2020-03-26,133,347,21873,0
2020-03-27,158,411,25573,0
2020-03-28,219,541,29776,2
2020-03-29,265,606,33768,4
2020-03-30,290,617,37453,4
2020-03-31,325,710,43119,5
2020-04-01,356,780,47439,6
2020-04-02,419,869,51809,10
2020-04-03,476,1023,57159,12
2020-04-04,552,1023,63306,15
2020-04-05,605,1190,67551,18
